POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
32,8,15,1:45.046,+3.496,+0.157,168.2,21,Rexal Villorba Corse,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Luciano,PRIVITELIO,B,,SMR,,,,,,,Donovan,PRIVITELIO,B,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,39,13,1:45.078,+3.528,+0.032,168.2,20,Target Racing,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Huilin,HAN,B,,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,48,4,1:45.122,+3.572,+0.044,168.1,6,DL Racing,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Andrea,FONTANA,S,,ITA,,,,,,,Cristian,BORTOLATO,B,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,68,19,1:45.164,+3.614,+0.042,168.0,21,DL Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Filippo,LAZZARONI,S,,ITA,,,,,,,Lucas,VALKRE,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,14,6,1:45.168,+3.618,+0.004,168.0,20,Oregon Team,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Pietro,PEROLINI,S,,ITA,,,,,,,Davide,RODA,B,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,26,18,1:45.322,+3.772,+0.154,167.8,21,Rexal Villorba Corse,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Cyril,SALEILLES,B,,FRA,,,,,,,Julien,LAMBERT,B,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,32,18,1:45.381,+3.831,+0.059,167.7,20,ASR,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Petar,MATIC,B,,SCG,,,,,,,Paolo,BIGLIERI,B,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,27,8,1:45.527,+3.977,+0.146,167.5,20,CMR,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Stephane,LEMERET,B,,BEL,,,,,,,Rodrigue,GILLION,B,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,19,1:45.527,+3.977,+0.000,167.5,21,ART-Line,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Nigel,BAILLY,B,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,93,9,1:45.580,+4.030,+0.053,167.4,22,Aggressive Team Italia,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Karim,OJJEH,,,SAU,,,,,,,Mauro Luciano,GUASTAMACCHIA,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
