NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
50,1,3,3:24.304,0,,32.294,2,1:18.632,0,1:33.378,0,240.1,11:00.907,21:16:00.907,0:32.294,1:18.632,1:33.378,336.6,Antonio Fuoco,,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,32.294,78.632,93.378,8.063,8.063,9.872,17.935,14.359,32.294,32.297,1:04.591,4.750,1:09.341,25.037,1:34.378,16.548,1:50.926,6.407,1:57.333,35.793,2:33.126,16.627,2:49.753,14.860,3:04.613,10.289,3:14.902,5.925,3:20.827,3.477,3:24.304,
50,1,4,3:31.585,0,B,32.403,0,1:18.636,0,1:40.546,0,231.8,14:32.492,21:19:32.492,0:32.403,1:18.636,1:40.546,336.6,Antonio Fuoco,,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,32.403,78.636,100.546,8.072,8.072,9.865,17.937,14.466,32.403,32.351,1:04.754,4.729,1:09.483,24.966,1:34.449,16.590,1:51.039,6.408,1:57.447,36.154,2:33.601,16.670,2:50.271,15.023,3:05.294,10.398,3:15.692,,,,3:31.585,
50,1,5,4:32.282,0,,1:30.103,0,1:25.613,0,1:36.566,0,180.2,19:04.774,21:24:04.774,1:30.103,1:25.613,1:36.566,326.5,Antonio Fuoco,0:01:00.822,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,90.103,85.613,96.566,58.271,58.271,13.820,1:12.091,18.012,1:30.103,34.722,2:04.825,4.843,2:09.668,26.078,2:35.746,19.970,2:55.716,6.844,3:02.560,37.016,3:39.576,16.807,3:56.383,15.828,4:12.211,10.530,4:22.741,6.149,4:28.890,3.392,4:32.282,
50,1,6,3:24.105,2,,32.487,0,1:18.531,2,1:33.087,2,240.3,22:28.879,21:27:28.879,0:32.487,1:18.531,1:33.087,337.6,Antonio Fuoco,,HYPERCAR,,Ferrari AF Corse,Ferrari,FF,32.487,78.531,93.087,8.016,8.016,10.028,18.044,14.443,32.487,32.261,1:04.748,4.708,1:09.456,25.016,1:34.472,16.546,1:51.018,6.345,1:57.363,35.672,2:33.035,16.612,2:49.647,14.770,3:04.417,10.157,3:14.574,6.022,3:20.596,3.509,3:24.105,
51,3,1,3:59.040,0,,54.122,0,1:25.532,0,1:39.386,0,203.0,3:59.040,21:08:59.040,0:54.122,1:25.532,1:39.386,295.4,Antonio Giovinazzi,0:00:13.696,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,54.122,85.532,99.386,19.933,19.933,15.042,34.975,19.147,54.122,36.987,1:31.109,4.857,1:35.966,26.305,2:02.271,17.383,2:19.654,6.787,2:26.441,37.133,3:03.574,17.392,3:20.966,15.801,3:36.767,11.556,3:48.323,7.271,3:55.594,3.446,3:59.040,
51,3,2,3:24.833,0,,32.613,0,1:18.667,0,1:33.553,0,239.5,7:23.873,21:12:23.873,0:32.613,1:18.667,1:33.553,337.6,Antonio Giovinazzi,,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,32.613,78.667,93.553,8.057,8.057,9.957,18.014,14.599,32.613,32.374,1:04.987,4.738,1:09.725,25.029,1:34.754,16.526,1:51.280,6.368,1:57.648,35.810,2:33.458,16.606,2:50.064,15.055,3:05.119,10.154,3:15.273,6.110,3:21.383,3.450,3:24.833,
51,3,3,3:24.644,0,,32.458,0,1:18.650,0,1:33.536,0,239.7,10:48.517,21:15:48.517,0:32.458,1:18.650,1:33.536,338.7,Antonio Giovinazzi,,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,32.458,78.650,93.536,8.033,8.033,9.913,17.946,14.512,32.458,32.352,1:04.810,4.716,1:09.526,25.097,1:34.623,16.485,1:51.108,6.375,1:57.483,35.967,2:33.450,16.706,2:50.156,14.868,3:05.024,10.092,3:15.116,6.094,3:21.210,3.434,3:24.644,
51,3,4,3:34.075,0,B,32.716,0,1:19.423,0,1:41.936,0,229.1,14:22.592,21:19:22.592,0:32.716,1:19.423,1:41.936,336.6,Antonio Giovinazzi,,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,32.716,79.423,101.936,8.034,8.034,9.965,17.999,14.717,32.716,32.754,1:05.470,4.680,1:10.150,25.378,1:35.528,16.611,1:52.139,6.413,1:58.552,36.370,2:34.922,16.797,2:51.719,15.629,3:07.348,10.391,3:17.739,,,,3:34.075,
51,3,5,4:32.963,0,,1:28.929,0,1:23.500,0,1:40.534,0,179.7,18:55.555,21:23:55.555,1:28.929,1:23.500,1:40.534,330.5,Antonio Giovinazzi,0:00:59.316,HYPERCAR,,Ferrari AF Corse,Ferrari,GF,88.929,83.500,100.534,56.764,56.764,13.886,1:10.650,18.279,1:28.929,34.810,2:03.739,5.189,2:08.928,26.337,2:35.265,17.164,2:52.429,6.809,2:59.238,37.229,3:36.467,19.316,3:55.783,16.727,4:12.510,10.772,4:23.282,6.323,4:29.605,3.358,4:32.963,
51,3,6,3:23.406,2,,32.339,2,1:18.385,2,1:32.682,2,241.2,22:18.961,21:27:18.961,0:32.339,1:18.385,1:32.682,336.6,Antonio Giovinazzi,,HYPERCAR,,Ferrari AF Corse,Ferrari,FF,32.339,78.385,92.682,7.995,7.995,9.862,17.857,14.482,32.339,32.212,1:04.551,4.699,1:09.250,25.001,1:34.251,16.473,1:50.724,6.308,1:57.032,35.644,2:32.676,16.551,2:49.227,14.704,3:03.931,10.053,3:13.984,6.007,3:19.991,3.415,3:23.406,
7,2,1,3:47.471,0,,44.976,0,1:22.985,0,1:39.510,0,213.3,3:47.471,21:08:47.471,0:44.976,1:22.985,1:39.510,329.5,Kamui Kobayashi,0:00:08.630,HYPERCAR,,Toyota Racing,Toyota,GF,44.976,82.985,99.510,14.003,14.003,13.389,27.392,17.584,44.976,34.890,1:19.866,4.841,1:24.707,26.197,1:50.904,17.057,2:07.961,6.659,2:14.620,38.901,2:53.521,17.957,3:11.478,15.917,3:27.395,10.466,3:37.861,6.175,3:44.036,3.435,3:47.471,
7,2,2,3:24.682,0,,32.401,0,1:18.584,0,1:33.697,0,239.7,7:12.153,21:12:12.153,0:32.401,1:18.584,1:33.697,337.6,Kamui Kobayashi,,HYPERCAR,,Toyota Racing,Toyota,GF,32.401,78.584,93.697,8.027,8.027,9.992,18.019,14.382,32.401,32.326,1:04.727,4.700,1:09.427,25.028,1:34.455,16.530,1:50.985,6.376,1:57.361,35.890,2:33.251,16.656,2:49.907,15.061,3:04.968,10.195,3:15.163,6.011,3:21.174,3.508,3:24.682,
