POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
31,99,4,3:38.258,+11.247,+0.100,224.7,36,AO by TF,LMP2,P/A,,Oreca 07 - Gibson,G,107463,6369,,5626,256,,,,AO BY TF,,PJ,Hyett,B,,USA,HYE,10826,,,,,James,Allen,G,,AUS,,8384,,,,,Dane,Cameron,P,,USA,,10328,,,,,,,,,,,,,,,,,,,,,,,
32,222,8,3:38.301,+11.290,+0.043,224.7,34,United Autosports,LMP2,P/A,,Oreca 07 - Gibson,G,107467,532,,5626,256,,,,UNITED,,Daniel,Schneider,B,,BRA,,9601,,,,,Benjamin,Hanley,G,,GBR,HLY,1972,,,,,Oliver,Jarvis,P,,GBR,,93,,,,,,,,,,,,,,,,,,,,,,,
33,24,14,3:39.219,+12.208,+0.918,223.8,34,Nielsen Racing,LMP2,,,Oreca 07 - Gibson,G,107488,5670,,5626,256,,,,NIELSEN RACING,,David,Heinemeier Hansson,S,,DEN,,11046,,,,,Edward,Pearson,S,,GBR,,43075,,,,,Jack,Doohan,P,,AUS,,43828,,,,,,,,,,,,,,,,,,,,,,,
34,9,26,3:39.908,+12.897,+0.689,223.1,27,Proton Competition,LMP2,,,Oreca 07 - Gibson,G,107475,45,,5626,256,,,,PROTON,,Jonas,Ried,S,,GER,,10879,,,,,Kakunoshin,Ohta,G,,JPN,,44204,,,,,Harry,King,G,,GBR,,44150,,,,,,,,,,,,,,,,,,,,,,,
35,44,8,3:40.356,+13.345,+0.448,222.6,27,Proton Competition,LMP2,P/A,,Oreca 07 - Gibson,G,107503,45,,5626,256,,,,PROTON,,Horst,Jr Felbermayr,B,,AUT,JFE,620,,,,,Horst,Felix Felbermayr,S,,AUT,FFE,10568,,,,,Lorenzo,Fluxa,G,,ESP,,11246,,,,,,,,,,,,,,,,,,,,,,,
36,25,8,3:40.790,+13.779,+0.434,222.2,30,Algarve Pro Racing,LMP2,P/A,,Oreca 07 - Gibson,G,107489,92,,5626,256,,,,APR,,Michael,Jensen,B,,DEN,,9543,,,,,Enzo,Trulli,S,,ITA,,12126,,,,,Jake,Hughes,G,,GBR,,44140,,,,,Oliver,Caldwell,G,,GBR,CAD,44142,,,,,,,,,,,,,,,,,
37,3,7,3:42.634,+15.623,+1.844,220.3,26,DKR Engineering,LMP2,P/A,,Oreca 07 - Gibson,G,107470,49,,5626,256,,,,DKR ENGINEERING,,John,Farano,B,,CAN,,8360,,,,,Sebastian,Alvarez,S,,MEX,,10425,,,,,Renger,van der Zande,P,,NED,VDZ,1920,,,,,,,,,,,,,,,,,,,,,,,
38,21,10,3:57.366,+30.355,+14.732,206.7,35,Vista AF Corse,LMGT3,,,Ferrari 296 LMGT3 Evo,G,107485,7464,,6289,3,,,,VISTA AF CORSE,,Francois,Heriau,B,,FRA,,1630,,,01:45:00,None,Simon,Mann,S,,USA,,10161,,,01:45:00,None,Alessio,Rovera,P,,ITA,,9837,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
39,59,7,3:57.412,+30.401,+0.046,206.6,29,Racing Spirit Of Leman,LMGT3,,,Aston Martin Vantage AMR LMGT3,G,107510,6194,,6242,260,,,,RSL,,Clement,Mateu,B,,FRA,,9175,,,,,Marius,Fossard,S,,FRA,,11250,,,,,Valentin,Hasse Clot,G,,FRA,HCL,10308,,,,,,,,,,,,,,,,,,,,,,,
40,87,23,3:57.421,+30.410,+0.009,206.6,24,Akkodis ASP Team,LMGT3,,,Lexus RC F LMGT3,G,107457,6361,,6248,4443,,,,AKKODIS ASP,,Petru,Umbrarescu,B,,ROU,,11848,,,01:45:00,None,Clemens,Schmid,S,,AUT,SCM,11594,,,01:45:00,None,Jose,Maria Lopez,P,,ARG,,8418,,,00:45:00,None,,,,,,,,,,,,,,,,,,,
