team,unique_drivers,total_events,series_count,total_laps,first_year,last_year,last_class,last_series
AIM VASSER SULLIVAN LLC,4,1,1,150,2020,2020,GTD,imsa
AWA Racing,3,1,1,338,2025,2025,LMGT3,wec
Action Express Racing,3,1,1,324,2023,2023,HYPERCAR,wec
Af Corse Usa,7,1,1,756,2026,2026,GTD,imsa
Bryan Herta Autosport with PR1/Mathiasen,4,1,1,685,2026,2026,LMP2,imsa
CD Sport,3,1,1,333,2022,2022,LMP2,wec
Cadillac WTR,3,1,1,189,2025,2025,HYPERCAR,wec
Dawson Racing,3,1,1,418,2021,2021,LMP3,imsa
Flying Lizard Motorsports,2,1,1,65,2024,2024,GTD,imsa
Ford Racing,6,1,1,1241,2026,2026,GTDPRO,imsa
G-Drive Racing By APR,8,1,1,2838,2022,2022,LMP2,imsa
Inter Europol  by PR1 Mathiasen Motorsports,4,1,1,2661,2024,2024,LMP2,imsa
Intersport Racing,4,1,1,684,2026,2026,LMP2,imsa
KCMG,4,1,1,1532,2022,2022,GTDPRO,imsa
KellyMoss with Riley,3,1,1,207,2024,2024,GTD,imsa
"Lone Star Racing, LLC",2,1,1,103,2023,2023,GTD,imsa
MRS GT-Racing,4,1,1,368,2023,2023,LMP3,imsa
Manthey 1St Phorm,4,1,1,660,2026,2026,GTD,imsa
Moorespeed,2,1,1,113,2019,2019,GTD,imsa
"Muehlner Motorsports America, LLC",4,1,1,646,2026,2026,GTD,imsa
Multimatic Motorsports,4,1,1,166,2020,2020,DPi,imsa
Myers Riley Motorsports,2,1,1,115,2026,2026,GTD,imsa
NTE Sport LLC,3,1,1,105,2023,2023,GTD,imsa
Northwest AMR,4,1,1,1444,2022,2022,GTD,imsa
"O'Gara Motorsport / USRT",2,1,1,73,2021,2021,GTD,imsa
PR1 Motorsports Mathiasen,3,1,1,261,2021,2021,LMP2,wec
Proton USA,3,1,1,1530,2022,2022,GTDPRO,imsa
RLL Team McLaren,4,1,1,642,2026,2026,GTDPRO,imsa
RWR-Eurasia,4,1,1,778,2021,2021,LMP2,imsa
Racing Team India Eurasia,3,1,1,338,2021,2021,LMP2,wec
Rahal Letterman Lanigan LLC,4,1,1,154,2020,2020,GTLM,imsa
Rs1,1,1,1,5,2026,2026,GTD,imsa
SO24-Dirob by Graff,3,1,1,352,2021,2021,LMP2,wec
Sainteloc Racing,2,1,1,122,2021,2021,LMP3,elms
Starworks,2,1,1,49,2020,2020,LMP2,imsa
T3 Motorsport North America,4,1,1,1416,2022,2022,GTD,imsa
TEAM PENSKE,4,1,1,166,2020,2020,DPi,imsa
TGM/TF Sport,4,1,1,674,2023,2023,GTDPRO,imsa
Team Hardpoints EBM,3,1,1,280,2021,2021,GTD,imsa
Team Tonis,2,1,1,66,2025,2025,LMP2,imsa
Trackhouse by TF Sport,3,1,1,651,2025,2025,GTDPRO,imsa
US RaceTronics,4,1,1,726,2023,2023,GTD,imsa
"Wayne Taylor Racing, LLC",2,1,1,83,2020,2020,DPi,imsa
Whelen Engineering Racing Cadillac,3,1,1,322,2023,2023,GTP,imsa
Whelen Engineering Racing Cadillac V-LMDh,3,1,1,771,2023,2023,GTP,imsa
Wulver Racing,2,1,1,71,2021,2021,LMP3,imsa
Ziggo Sport Tempesta,3,1,1,335,2025,2025,LMGT3,wec
