driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
ryan cullen,2024-10-19 14:30:00,Portimao,elms,LMP2,1470,-17,36,1141,Silver
sebastian alvarez,2024-10-19 14:30:00,Portimao,elms,LMP2,1652,30,37,1285,Silver
stéphane richelmi,2024-10-19 14:30:00,Portimao,elms,LMP2,1542,67,53,316,Gold
tom dillmann,2024-10-19 14:30:00,Portimao,elms,LMP2,1777,13,42,1619,Gold
tristan vautier,2024-10-19 14:30:00,Portimao,elms,LMP2,1595,17,40,516,Gold
vladislav lomko,2024-10-19 14:30:00,Portimao,elms,LMP2,1678,19,48,631,Gold
william stevens,2024-10-19 14:30:00,Portimao,elms,LMP2,1637,-6,41,1543,Platinum
antonio felix da costa,2025-01-25 13:40:00,Daytona,imsa,LMP2,1781,41,76,1144,Platinum
ben keating,2025-01-25 13:40:00,Daytona,imsa,LMP2,1425,26,162,2600,Bronze
benjamin pedersen,2025-01-25 13:40:00,Daytona,imsa,LMP2,1695,310,209,345,Silver
bijoy garg,2025-01-25 13:40:00,Daytona,imsa,LMP2,1546,-6,114,995,Silver
callum ilott,2025-01-25 13:40:00,Daytona,imsa,LMP2,1774,0,183,183,Platinum
charles milesi,2025-01-25 13:40:00,Daytona,imsa,LMP2,1696,-23,154,2076,Gold
chris cumming,2025-01-25 13:40:00,Daytona,imsa,LMP2,1308,0,137,137,Bronze
christian rasmussen,2025-01-25 13:40:00,Daytona,imsa,LMP2,1891,-70,190,1509,Gold
colton herta,2025-01-25 13:40:00,Daytona,imsa,LMP2,1722,-38,170,375,Platinum
dane cameron,2025-01-25 13:40:00,Daytona,imsa,LMP2,1740,29,224,448,Platinum
daniel goldburg,2025-01-25 13:40:00,Daytona,imsa,LMP2,1398,40,157,952,Bronze
david heinemeier hansson,2025-01-25 13:40:00,Daytona,imsa,LMP2,1516,13,194,1096,Silver
dylan murry,2025-01-25 13:40:00,Daytona,imsa,LMP2,1599,-104,156,585,Silver
felipe fraga,2025-01-25 13:40:00,Daytona,imsa,LMP2,1645,-53,219,1416,Gold
felipe massa,2025-01-25 13:40:00,Daytona,imsa,LMP2,1676,-22,223,889,Platinum
gar robinson,2025-01-25 13:40:00,Daytona,imsa,LMP2,1305,-47,153,1206,Bronze
garnet patterson,2025-01-25 13:40:00,Daytona,imsa,LMP2,1655,131,51,90,Silver
george kurtz,2025-01-25 13:40:00,Daytona,imsa,LMP2,1276,41,193,1626,Bronze
hunter mcelrea,2025-01-25 13:40:00,Daytona,imsa,LMP2,1537,-158,182,588,Silver
james allen,2025-01-25 13:40:00,Daytona,imsa,LMP2,1618,2,176,2761,Gold
james roe,2025-01-25 13:40:00,Daytona,imsa,LMP2,1394,0,162,162,Silver
job van uitert,2025-01-25 13:40:00,Daytona,imsa,LMP2,1655,-94,238,2113,Gold
john farano,2025-01-25 13:40:00,Daytona,imsa,LMP2,1090,87,153,2414,Bronze
jon field,2025-01-25 13:40:00,Daytona,imsa,LMP2,1309,0,156,156,Bronze
jonny edgar,2025-01-25 13:40:00,Daytona,imsa,LMP2,1731,46,190,918,Silver
josh burdon,2025-01-25 13:40:00,Daytona,imsa,LMP2,1607,-22,170,1219,Silver
luis perez companc,2025-01-25 13:40:00,Daytona,imsa,LMP2,1376,57,148,798,Bronze
malthe jakobsen,2025-01-25 13:40:00,Daytona,imsa,LMP2,1713,28,187,1811,Gold
mathias beche,2025-01-25 13:40:00,Daytona,imsa,LMP2,1718,59,244,1668,Gold
matthieu vaxiviere,2025-01-25 13:40:00,Daytona,imsa,LMP2,1655,-8,175,1622,Gold
mikkel jensen,2025-01-25 13:40:00,Daytona,imsa,LMP2,1687,-92,197,2315,Platinum
nick boulle,2025-01-25 13:40:00,Daytona,imsa,LMP2,1502,13,142,1172,Bronze
nicklas nielsen,2025-01-25 13:40:00,Daytona,imsa,LMP2,1803,102,218,1715,Platinum
oliver jarvis,2025-01-25 13:40:00,Daytona,imsa,LMP2,1676,9,46,1831,Platinum
paul di resta,2025-01-25 13:40:00,Daytona,imsa,LMP2,1747,-4,251,1320,Platinum
paul loup chatin,2025-01-25 13:40:00,Daytona,imsa,LMP2,1690,90,245,4100,Gold
pietro fittipaldi,2025-01-25 13:40:00,Daytona,imsa,LMP2,1542,-129,194,2278,Gold
pj hyett,2025-01-25 13:40:00,Daytona,imsa,LMP2,1466,102,152,1327,Bronze
rasmus lindh,2025-01-25 13:40:00,Daytona,imsa,LMP2,1708,99,181,394,Silver
rodrigo sales,2025-01-25 13:40:00,Daytona,imsa,LMP2,1237,-65,149,1049,Bronze
ryan dalziel,2025-01-25 13:40:00,Daytona,imsa,LMP2,1646,15,181,3185,Gold
sebastian alvarez,2025-01-25 13:40:00,Daytona,imsa,LMP2,1682,30,170,1455,Silver
sebastien bourdais,2025-01-25 13:40:00,Daytona,imsa,LMP2,1713,13,204,631,Platinum
steven thomas,2025-01-25 13:40:00,Daytona,imsa,LMP2,1289,-101,148,2641,Bronze
tobi lutke,2025-01-25 13:40:00,Daytona,imsa,LMP2,1206,0,144,144,Bronze
toby sowery,2025-01-25 13:40:00,Daytona,imsa,LMP2,1798,38,204,1145,Silver
tom dillmann,2025-01-25 13:40:00,Daytona,imsa,LMP2,1753,-24,84,1703,Gold
benjamin hanley,2025-03-15 10:10:00,Sebring,imsa,LMP2,1735,17,151,3765,Gold
benjamin pedersen,2025-03-15 10:10:00,Sebring,imsa,LMP2,1554,-141,132,477,Silver
bijoy garg,2025-03-15 10:10:00,Sebring,imsa,LMP2,1570,25,130,1125,Silver
chris cumming,2025-03-15 10:10:00,Sebring,imsa,LMP2,1329,21,87,224,Bronze
dane cameron,2025-03-15 10:10:00,Sebring,imsa,LMP2,1679,-62,135,583,Platinum
daniel goldburg,2025-03-15 10:10:00,Sebring,imsa,LMP2,1425,27,96,1048,Bronze
felipe fraga,2025-03-15 10:10:00,Sebring,imsa,LMP2,1646,1,130,1546,Gold
gar robinson,2025-03-15 10:10:00,Sebring,imsa,LMP2,1331,26,83,1289,Bronze
george kurtz,2025-03-15 10:10:00,Sebring,imsa,LMP2,1302,26,83,1709,Bronze
hunter mcelrea,2025-03-15 10:10:00,Sebring,imsa,LMP2,1641,104,134,722,Silver
james roe,2025-03-15 10:10:00,Sebring,imsa,LMP2,1403,9,46,208,Silver
jeremy clarke,2025-03-15 10:10:00,Sebring,imsa,LMP2,1271,0,88,88,Bronze
john farano,2025-03-15 10:10:00,Sebring,imsa,LMP2,1053,-37,82,2496,Bronze
jonny edgar,2025-03-15 10:10:00,Sebring,imsa,LMP2,1755,25,127,1045,Silver
josh burdon,2025-03-15 10:10:00,Sebring,imsa,LMP2,1587,-19,134,1353,Silver
juan correa,2025-03-15 10:10:00,Sebring,imsa,LMP2,1572,0,112,112,Silver
luis perez companc,2025-03-15 10:10:00,Sebring,imsa,LMP2,1355,-21,85,883,Bronze
malthe jakobsen,2025-03-15 10:10:00,Sebring,imsa,LMP2,1740,28,129,1940,Gold
mathias beche,2025-03-15 10:10:00,Sebring,imsa,LMP2,1620,-98,106,1774,Gold
matias perez companc,2025-03-15 10:10:00,Sebring,imsa,LMP2,1519,0,108,108,Silver
mikkel jensen,2025-03-15 10:10:00,Sebring,imsa,LMP2,1774,87,130,2445,Platinum
nick boulle,2025-03-15 10:10:00,Sebring,imsa,LMP2,1495,-7,84,1256,Bronze
nicklas nielsen,2025-03-15 10:10:00,Sebring,imsa,LMP2,1803,0,67,1782,Platinum
paul di resta,2025-03-15 10:10:00,Sebring,imsa,LMP2,1723,-24,97,1417,Platinum
pietro fittipaldi,2025-03-15 10:10:00,Sebring,imsa,LMP2,1513,-30,10,2288,Gold
pj hyett,2025-03-15 10:10:00,Sebring,imsa,LMP2,1427,-39,84,1411,Bronze
rasmus lindh,2025-03-15 10:10:00,Sebring,imsa,LMP2,1683,-25,149,543,Silver
rodrigo sales,2025-03-15 10:10:00,Sebring,imsa,LMP2,1204,-33,83,1132,Bronze
sebastian alvarez,2025-03-15 10:10:00,Sebring,imsa,LMP2,1688,6,132,1587,Silver
sebastien bourdais,2025-03-15 10:10:00,Sebring,imsa,LMP2,1764,51,133,764,Platinum
steven thomas,2025-03-15 10:10:00,Sebring,imsa,LMP2,1333,44,83,2724,Bronze
tobi lutke,2025-03-15 10:10:00,Sebring,imsa,LMP2,1095,-111,37,181,Bronze
toby sowery,2025-03-15 10:10:00,Sebring,imsa,LMP2,1787,-11,135,1280,Silver
tom dillmann,2025-03-15 10:10:00,Sebring,imsa,LMP2,1781,28,129,1832,Gold
alessio rovera,2025-04-06 12:00:00,Barcelona,elms,LMP2,1630,16,41,1050,Platinum
alexander quinn,2025-04-06 12:00:00,Barcelona,elms,LMP2,1638,13,52,1621,Gold
aliaksandr malykhin,2025-04-06 12:00:00,Barcelona,elms,LMP2,1565,0,44,44,Silver
anthony wells,2025-04-06 12:00:00,Barcelona,elms,LMP2,1071,-47,40,181,Bronze
benjamin hanley,2025-04-06 12:00:00,Barcelona,elms,LMP2,1725,-10,38,3803,Gold
bent viscaal,2025-04-06 12:00:00,Barcelona,elms,LMP2,1697,24,50,1626,Gold
cem bölükbasi,2025-04-06 12:00:00,Barcelona,elms,LMP2,1626,0,39,39,Silver
charles milesi,2025-04-06 12:00:00,Barcelona,elms,LMP2,1669,-27,39,2115,Platinum
clément novalak,2025-04-06 12:00:00,Barcelona,elms,LMP2,1782,9,41,417,Gold
dane cameron,2025-04-06 12:00:00,Barcelona,elms,LMP2,1673,-6,47,630,Platinum
daniel juncadella,2025-04-06 12:00:00,Barcelona,elms,LMP2,1723,0,41,41,Platinum
daniel schneider,2025-04-06 12:00:00,Barcelona,elms,LMP2,1033,-54,37,426,Bronze
enzo fittipaldi,2025-04-06 12:00:00,Barcelona,elms,LMP2,1682,0,41,41,Gold
esteban masson,2025-04-06 12:00:00,Barcelona,elms,LMP2,1719,0,43,43,Gold
ferdinand habsburg,2025-04-06 12:00:00,Barcelona,elms,LMP2,1713,-30,42,2096,Gold
filipe albuquerque,2025-04-06 12:00:00,Barcelona,elms,LMP2,1667,-1,49,1755,Platinum
francesco simonazzi,2025-04-06 12:00:00,Barcelona,elms,LMP2,1594,0,50,50,Silver
francois perrodo,2025-04-06 12:00:00,Barcelona,elms,LMP2,1243,-15,39,1375,Bronze
georgios kolovos,2025-04-06 12:00:00,Barcelona,elms,LMP2,1250,26,38,106,Bronze
giorgio roda,2025-04-06 12:00:00,Barcelona,elms,LMP2,1388,13,43,472,Bronze
grégoire saucy,2025-04-06 12:00:00,Barcelona,elms,LMP2,1575,47,43,276,Gold
jakub smiechowski,2025-04-06 12:00:00,Barcelona,elms,LMP2,1509,-12,38,1999,Silver
james allen,2025-04-06 12:00:00,Barcelona,elms,LMP2,1626,8,50,2811,Gold
jamie chadwick,2025-04-06 12:00:00,Barcelona,elms,LMP2,1511,0,51,51,Silver
jean-baptiste simmenauer,2025-04-06 12:00:00,Barcelona,elms,LMP2,1443,-147,38,306,Gold
job van uitert,2025-04-06 12:00:00,Barcelona,elms,LMP2,1667,12,38,2151,Gold
jonas ried,2025-04-06 12:00:00,Barcelona,elms,LMP2,1474,-75,38,487,Silver
kriton lentoudis,2025-04-06 12:00:00,Barcelona,elms,LMP2,868,-58,37,229,Bronze
laurents horr,2025-04-06 12:00:00,Barcelona,elms,LMP2,1666,5,51,901,Gold
lorenzo fluxa,2025-04-06 12:00:00,Barcelona,elms,LMP2,1681,-5,43,361,Gold
louis deletraz,2025-04-06 12:00:00,Barcelona,elms,LMP2,1692,-21,35,3342,Gold
luca ghiotto,2025-04-06 12:00:00,Barcelona,elms,LMP2,1730,-52,39,416,Platinum
luis felipe derani,2025-04-06 12:00:00,Barcelona,elms,LMP2,1511,0,28,28,Platinum
maceo capietto,2025-04-06 12:00:00,Barcelona,elms,LMP2,1532,-33,33,294,Silver
manuel espirito santo,2025-04-06 12:00:00,Barcelona,elms,LMP2,1670,0,51,51,Silver
manuel maldonado,2025-04-06 12:00:00,Barcelona,elms,LMP2,1619,-26,49,895,Silver
marino sato,2025-04-06 12:00:00,Barcelona,elms,LMP2,1655,31,52,529,Gold
mathias beche,2025-04-06 12:00:00,Barcelona,elms,LMP2,1638,18,50,1824,Gold
mathys jaubert,2025-04-06 12:00:00,Barcelona,elms,LMP2,1553,0,38,38,Silver
matteo cairoli,2025-04-06 12:00:00,Barcelona,elms,LMP2,1555,-188,38,275,Platinum
matthias kaiser,2025-04-06 12:00:00,Barcelona,elms,LMP2,1561,40,49,919,Silver
matthieu vaxiviere,2025-04-06 12:00:00,Barcelona,elms,LMP2,1685,30,50,1672,Gold
nicholas yelloly,2025-04-06 12:00:00,Barcelona,elms,LMP2,1568,-153,45,176,Platinum
oliver gray,2025-04-06 12:00:00,Barcelona,elms,LMP2,1688,132,48,237,Silver
oliver jarvis,2025-04-06 12:00:00,Barcelona,elms,LMP2,1677,1,41,1872,Platinum
olli caldwell,2025-04-06 12:00:00,Barcelona,elms,LMP2,1596,29,41,1104,Gold
paul lafargue,2025-04-06 12:00:00,Barcelona,elms,LMP2,1485,-18,42,1150,Silver
paul loup chatin,2025-04-06 12:00:00,Barcelona,elms,LMP2,1677,-13,49,4149,Gold
pedro perino,2025-04-06 12:00:00,Barcelona,elms,LMP2,1514,0,51,51,Silver
pietro fittipaldi,2025-04-06 12:00:00,Barcelona,elms,LMP2,1540,27,39,2327,Platinum
pj hyett,2025-04-06 12:00:00,Barcelona,elms,LMP2,1413,-14,42,1453,Bronze
rene binder,2025-04-06 12:00:00,Barcelona,elms,LMP2,1578,0,37,1569,Gold
reshad de gerus,2025-04-06 12:00:00,Barcelona,elms,LMP2,1640,-3,21,841,Gold
rodrigo sales,2025-04-06 12:00:00,Barcelona,elms,LMP2,1214,10,39,1171,Bronze
roy nissany,2025-04-06 12:00:00,Barcelona,elms,LMP2,1559,0,41,41,Gold
ryan cullen,2025-04-06 12:00:00,Barcelona,elms,LMP2,1492,22,47,1188,Silver
sergio sette camara,2025-04-06 12:00:00,Barcelona,elms,LMP2,1582,0,39,39,Gold
thomas laurent,2025-04-06 12:00:00,Barcelona,elms,LMP2,1544,82,40,211,Gold
théo pourchaire,2025-04-06 12:00:00,Barcelona,elms,LMP2,1641,0,38,38,Platinum
tom blomqvist,2025-04-06 12:00:00,Barcelona,elms,LMP2,1754,-7,39,849,Platinum
tom dillmann,2025-04-06 12:00:00,Barcelona,elms,LMP2,1687,-94,38,1870,Gold
tristan vautier,2025-04-06 12:00:00,Barcelona,elms,LMP2,1594,-1,47,563,Gold
vladislav lomko,2025-04-06 12:00:00,Barcelona,elms,LMP2,1665,-13,44,675,Gold
alexander quinn,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1636,-1,49,1670,Gold
aliaksandr malykhin,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1549,-16,13,57,Silver
anthony wells,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1147,76,26,207,Bronze
benjamin hanley,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1686,-39,35,3838,Gold
bent viscaal,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1710,13,47,1673,Gold
cem bölükbasi,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1698,72,31,70,Silver
charles milesi,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1684,15,35,2150,Platinum
clément novalak,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1793,11,35,452,Gold
dane cameron,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1629,-45,35,665,Platinum
daniel juncadella,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1663,-60,31,72,Platinum
daniel schneider,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1058,26,26,452,Bronze
enzo fittipaldi,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1598,-85,42,83,Gold
esteban masson,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1724,5,40,83,Gold
ferdinand habsburg,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1705,-8,41,2137,Gold
filipe albuquerque,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1643,-24,35,1790,Platinum
francesco simonazzi,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1663,69,31,81,Silver
francois perrodo,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1233,-10,26,1401,Bronze
georgios kolovos,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1153,-96,25,131,Bronze
giorgio roda,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1399,11,27,499,Bronze
grégoire saucy,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1592,17,41,317,Gold
jakub smiechowski,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1512,3,26,2025,Silver
james allen,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1657,31,46,2857,Gold
jamie chadwick,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1558,47,31,82,Silver
jean-baptiste simmenauer,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1401,-42,32,338,Gold
job van uitert,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1657,-10,43,2194,Gold
jonas ried,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1502,28,26,513,Silver
kriton lentoudis,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,956,88,26,255,Bronze
laurents horr,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1634,-32,32,933,Gold
lorenzo fluxa,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1687,6,42,403,Gold
louis deletraz,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1717,26,46,3388,Gold
luca ghiotto,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1691,-39,39,455,Platinum
luis felipe derani,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1586,75,31,59,Platinum
maceo capietto,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1613,81,38,332,Silver
manuel espirito santo,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1664,-6,34,85,Silver
manuel maldonado,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1587,-32,30,925,Silver
marino sato,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1647,-8,48,577,Gold
mathias beche,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1653,15,46,1870,Gold
mathys jaubert,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1671,118,45,83,Silver
matteo cairoli,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1564,9,13,288,Platinum
matthias kaiser,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1541,-20,36,955,Silver
matthieu vaxiviere,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1700,15,34,1706,Gold
nicholas yelloly,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1677,108,37,213,Platinum
nicklas nielsen,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1783,-20,37,1819,Platinum
oliver gray,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1664,-23,32,269,Silver
oliver jarvis,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1664,-13,33,1905,Platinum
olli caldwell,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1599,3,32,1136,Gold
paul lafargue,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1477,-7,28,1178,Silver
paul loup chatin,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1695,18,31,4180,Gold
pedro perino,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1587,73,32,83,Silver
pietro fittipaldi,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1539,-1,34,2361,Platinum
pj hyett,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1393,-20,26,1479,Bronze
rene binder,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1592,14,33,1602,Gold
reshad de gerus,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1611,-29,34,875,Gold
rodrigo sales,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1220,6,26,1197,Bronze
roy nissany,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1567,8,42,83,Gold
ryan cullen,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1502,10,32,1220,Silver
sergio sette camara,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1621,39,35,74,Gold
thomas laurent,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1542,-2,49,260,Gold
théo pourchaire,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1570,-71,29,67,Platinum
tom dillmann,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1705,18,44,1914,Gold
tristan vautier,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1595,1,7,570,Gold
vladislav lomko,2025-05-04 12:00:00,Paul Ricard,elms,LMP2,1649,-17,41,716,Gold
alexander quinn,2025-06-14 16:00:00,Le Mans,wec,LMP2,1643,7,143,1813,Gold
aliaksandr malykhin,2025-06-14 16:00:00,Le Mans,wec,LMP2,1380,-169,100,157,Silver
andré lotterer,2025-06-14 16:00:00,Le Mans,wec,LMP2,1539,0,72,72,Platinum
antonio felix da costa,2025-06-14 16:00:00,Le Mans,wec,LMP2,1718,-63,129,1273,Platinum
benjamin hanley,2025-06-14 16:00:00,Le Mans,wec,LMP2,1698,12,118,3956,Gold
bent viscaal,2025-06-14 16:00:00,Le Mans,wec,LMP2,1730,20,146,1819,Gold
cem bölükbasi,2025-06-14 16:00:00,Le Mans,wec,LMP2,1638,-60,51,121,Silver
clément novalak,2025-06-14 16:00:00,Le Mans,wec,LMP2,1806,13,151,603,Gold
colin braun,2025-06-14 16:00:00,Le Mans,wec,LMP2,1624,-62,42,911,Gold
dane cameron,2025-06-14 16:00:00,Le Mans,wec,LMP2,1695,66,132,797,Platinum
daniel schneider,2025-06-14 16:00:00,Le Mans,wec,LMP2,1051,-8,100,552,Bronze
david heinemeier hansson,2025-06-14 16:00:00,Le Mans,wec,LMP2,1498,-18,96,1192,Silver
esteban masson,2025-06-14 16:00:00,Le Mans,wec,LMP2,1741,17,158,241,Gold
franck perera,2025-06-14 16:00:00,Le Mans,wec,LMP2,1660,0,86,86,Platinum
francois perrodo,2025-06-14 16:00:00,Le Mans,wec,LMP2,1229,-4,95,1496,Bronze
george kurtz,2025-06-14 16:00:00,Le Mans,wec,LMP2,1196,-106,96,1805,Bronze
giorgio roda,2025-06-14 16:00:00,Le Mans,wec,LMP2,1324,-75,99,598,Bronze
jakub smiechowski,2025-06-14 16:00:00,Le Mans,wec,LMP2,1522,10,101,2126,Silver
jamie chadwick,2025-06-14 16:00:00,Le Mans,wec,LMP2,1424,-134,66,148,Silver
jean-baptiste simmenauer,2025-06-14 16:00:00,Le Mans,wec,LMP2,1490,89,112,450,Gold
job van uitert,2025-06-14 16:00:00,Le Mans,wec,LMP2,1673,16,112,2306,Gold
jonas ried,2025-06-14 16:00:00,Le Mans,wec,LMP2,1482,-20,97,610,Silver
lorenzo fluxa,2025-06-14 16:00:00,Le Mans,wec,LMP2,1716,29,123,526,Gold
louis deletraz,2025-06-14 16:00:00,Le Mans,wec,LMP2,1689,-28,135,3523,Gold
luca ghiotto,2025-06-14 16:00:00,Le Mans,wec,LMP2,1615,-76,157,612,Platinum
maceo capietto,2025-06-14 16:00:00,Le Mans,wec,LMP2,1690,77,147,479,Silver
mathias beche,2025-06-14 16:00:00,Le Mans,wec,LMP2,1706,53,118,1988,Gold
mathys jaubert,2025-06-14 16:00:00,Le Mans,wec,LMP2,1623,-49,68,151,Silver
matthias kaiser,2025-06-14 16:00:00,Le Mans,wec,LMP2,1511,-30,98,1053,Silver
matthieu vaxiviere,2025-06-14 16:00:00,Le Mans,wec,LMP2,1671,-28,139,1845,Gold
michael jensen,2025-06-14 16:00:00,Le Mans,wec,LMP2,1108,-139,92,180,Bronze
naveen rao,2025-06-14 16:00:00,Le Mans,wec,LMP2,1138,-145,77,147,Bronze
nicholas yelloly,2025-06-14 16:00:00,Le Mans,wec,LMP2,1765,88,137,350,Platinum
nick boulle,2025-06-14 16:00:00,Le Mans,wec,LMP2,1447,-48,94,1350,Bronze
nicky catsburg,2025-06-14 16:00:00,Le Mans,wec,LMP2,1608,-6,123,175,Platinum
oliver gray,2025-06-14 16:00:00,Le Mans,wec,LMP2,1714,50,123,392,Silver
oliver jarvis,2025-06-14 16:00:00,Le Mans,wec,LMP2,1704,40,145,2050,Platinum
patrick pilet,2025-06-14 16:00:00,Le Mans,wec,LMP2,1726,77,150,1157,Platinum
paul lafargue,2025-06-14 16:00:00,Le Mans,wec,LMP2,1472,-6,97,1275,Silver
pietro fittipaldi,2025-06-14 16:00:00,Le Mans,wec,LMP2,1634,95,137,2498,Platinum
pj hyett,2025-06-14 16:00:00,Le Mans,wec,LMP2,1404,11,99,1578,Bronze
rene binder,2025-06-14 16:00:00,Le Mans,wec,LMP2,1597,5,119,1721,Gold
renger van der zande,2025-06-14 16:00:00,Le Mans,wec,LMP2,1747,54,130,722,Platinum
reshad de gerus,2025-06-14 16:00:00,Le Mans,wec,LMP2,1599,-12,121,996,Gold
rodrigo sales,2025-06-14 16:00:00,Le Mans,wec,LMP2,1232,12,95,1292,Bronze
ryan cullen,2025-06-14 16:00:00,Le Mans,wec,LMP2,1528,26,120,1340,Silver
sebastian alvarez,2025-06-14 16:00:00,Le Mans,wec,LMP2,1676,-12,99,1686,Silver
théo pourchaire,2025-06-14 16:00:00,Le Mans,wec,LMP2,1723,152,142,209,Platinum
tom blomqvist,2025-06-14 16:00:00,Le Mans,wec,LMP2,1688,-65,120,969,Platinum
tom dillmann,2025-06-14 16:00:00,Le Mans,wec,LMP2,1732,27,128,2042,Gold
tristan vautier,2025-06-14 16:00:00,Le Mans,wec,LMP2,1608,13,137,707,Gold
benjamin hanley,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1674,-24,62,4018,Gold
bijoy garg,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1586,16,43,1168,Silver
chris cumming,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1344,14,37,261,Bronze
dane cameron,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1722,27,79,876,Platinum
daniel goldburg,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1421,-4,37,1085,Bronze
david heinemeier hansson,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1489,-9,46,1238,Silver
felipe fraga,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1676,30,64,1610,Gold
gar robinson,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1343,12,37,1326,Bronze
george kurtz,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1195,-1,37,1842,Bronze
jeremy clarke,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1390,119,37,125,Bronze
john farano,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1068,15,38,2534,Bronze
jonny edgar,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1746,-9,51,1096,Silver
josh burdon,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1643,56,66,1419,Silver
juan correa,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1446,-126,48,160,Silver
luis perez companc,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1364,9,37,920,Bronze
malthe jakobsen,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1721,-20,85,2025,Gold
manuel espirito santo,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1714,50,66,151,Silver
matias perez companc,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1468,-52,44,152,Silver
matthieu vaxiviere,2025-06-22 12:10:00,Watkins Glen,imsa,LMP2,1679,8,86,1931,Gold
