driver,session_date,event,series_code,class,elo,delta,laps,cumulative_laps,license
francesco dracone,2021-04-18 11:00:00,Barcelona,elms,LMP2,1248,0,43,43,Silver
franco colapinto,2021-04-18 11:00:00,Barcelona,elms,LMP2,1715,0,57,57,Silver
francois heriau,2021-04-18 11:00:00,Barcelona,elms,LMP2,1463,0,30,30,Bronze
gabriel aubry,2021-04-18 11:00:00,Barcelona,elms,LMP2,1729,23,27,438,Gold
harry tincknell,2021-04-18 11:00:00,Barcelona,elms,LMP2,1563,0,48,48,Platinum
henrik hedman,2021-04-18 11:00:00,Barcelona,elms,LMP2,1383,-89,7,52,Bronze
jean-baptiste lahaye,2021-04-18 11:00:00,Barcelona,elms,LMP2,1631,0,58,58,Silver
job van uitert,2021-04-18 11:00:00,Barcelona,elms,LMP2,1713,0,27,27,Gold
john falb,2021-04-18 11:00:00,Barcelona,elms,LMP2,1454,0,27,27,Bronze
jonathan aberdein,2021-04-18 11:00:00,Barcelona,elms,LMP2,1554,0,27,27,Gold
julien canal,2021-04-18 11:00:00,Barcelona,elms,LMP2,1621,0,59,59,Silver
kyle tilley,2021-04-18 11:00:00,Barcelona,elms,LMP2,1464,-86,52,427,Silver
louis deletraz,2021-04-18 11:00:00,Barcelona,elms,LMP2,1761,0,58,58,Gold
manuel maldonado,2021-04-18 11:00:00,Barcelona,elms,LMP2,1439,0,58,58,Silver
markus pommer,2021-04-18 11:00:00,Barcelona,elms,LMP2,1370,0,45,45,Silver
matthieu lahaye,2021-04-18 11:00:00,Barcelona,elms,LMP2,1531,0,52,52,Silver
maxime robin,2021-04-18 11:00:00,Barcelona,elms,LMP2,1206,0,30,30,Silver
memo rojas,2021-04-18 11:00:00,Barcelona,elms,LMP2,1597,0,29,29,Silver
nick de vries,2021-04-18 11:00:00,Barcelona,elms,LMP2,1718,0,56,56,Platinum
nicolas jamin,2021-04-18 11:00:00,Barcelona,elms,LMP2,1521,0,54,54,Gold
nicolas lapierre,2021-04-18 11:00:00,Barcelona,elms,LMP2,1592,78,41,206,Platinum
patrick pilet,2021-04-18 11:00:00,Barcelona,elms,LMP2,1634,0,29,29,Platinum
paul lafargue,2021-04-18 11:00:00,Barcelona,elms,LMP2,1499,0,53,53,Silver
paul loup chatin,2021-04-18 11:00:00,Barcelona,elms,LMP2,1882,-50,58,353,Gold
philip hanson,2021-04-18 11:00:00,Barcelona,elms,LMP2,1744,0,57,57,Gold
pietro fittipaldi,2021-04-18 11:00:00,Barcelona,elms,LMP2,1520,0,55,55,Platinum
rene binder,2021-04-18 11:00:00,Barcelona,elms,LMP2,1486,0,57,57,Gold
richard bradley,2021-04-18 11:00:00,Barcelona,elms,LMP2,1379,0,52,52,Gold
robert kubica,2021-04-18 11:00:00,Barcelona,elms,LMP2,1617,0,27,27,Platinum
roman rusinov,2021-04-18 11:00:00,Barcelona,elms,LMP2,1517,0,28,28,Gold
rui andrade,2021-04-18 11:00:00,Barcelona,elms,LMP2,1479,0,58,58,Silver
ryan dalziel,2021-04-18 11:00:00,Barcelona,elms,LMP2,1701,-62,58,440,Gold
salih yoluc,2021-04-18 11:00:00,Barcelona,elms,LMP2,1183,3,41,223,Silver
sergio campana,2021-04-18 11:00:00,Barcelona,elms,LMP2,1503,0,50,50,Gold
tom gamble,2021-04-18 11:00:00,Barcelona,elms,LMP2,1647,0,57,57,Gold
tristan gommendy,2021-04-18 11:00:00,Barcelona,elms,LMP2,1502,0,54,54,Platinum
vincent capillaire,2021-04-18 11:00:00,Barcelona,elms,LMP2,1150,0,57,57,Silver
william stevens,2021-04-18 11:00:00,Barcelona,elms,LMP2,1754,0,55,55,Platinum
yifei ye,2021-04-18 11:00:00,Barcelona,elms,LMP2,1614,0,56,56,Gold
alex brundle,2021-05-01 13:30:00,Spa,wec,LMP2,1495,0,81,81,Gold
anders fjordbach,2021-05-01 13:30:00,Spa,wec,LMP2,1632,0,78,78,Silver
anthony davidson,2021-05-01 13:30:00,Spa,wec,LMP2,1729,0,75,75,Platinum
antonio felix da costa,2021-05-01 13:30:00,Spa,wec,LMP2,1700,0,44,44,Platinum
beitske visser,2021-05-01 13:30:00,Spa,wec,LMP2,1288,0,40,40,Silver
benjamin hanley,2021-05-01 13:30:00,Spa,wec,LMP2,1590,10,79,127,Gold
charles milesi,2021-05-01 13:30:00,Spa,wec,LMP2,1617,0,44,44,Platinum
dennis andersen,2021-05-01 13:30:00,Spa,wec,LMP2,1118,-313,39,107,Bronze
esteban garcia,2021-05-01 13:30:00,Spa,wec,LMP2,1028,0,41,41,Bronze
fabio scherer,2021-05-01 13:30:00,Spa,wec,LMP2,1612,0,41,41,Gold
ferdinand habsburg,2021-05-01 13:30:00,Spa,wec,LMP2,1635,117,42,77,Gold
filipe albuquerque,2021-05-01 13:30:00,Spa,wec,LMP2,1764,0,79,79,Platinum
franco colapinto,2021-05-01 13:30:00,Spa,wec,LMP2,1743,28,42,99,Silver
frits van eerd,2021-05-01 13:30:00,Spa,wec,LMP2,1184,-255,38,107,Bronze
gabriel aubry,2021-05-01 13:30:00,Spa,wec,LMP2,1750,21,73,511,Gold
giedo van der garde,2021-05-01 13:30:00,Spa,wec,LMP2,1887,325,61,105,Platinum
henrik hedman,2021-05-01 13:30:00,Spa,wec,LMP2,1225,-158,40,92,Bronze
jakub smiechowski,2021-05-01 13:30:00,Spa,wec,LMP2,1379,0,36,36,Silver
jan magnussen,2021-05-01 13:30:00,Spa,wec,LMP2,1381,0,40,40,Gold
job van uitert,2021-05-01 13:30:00,Spa,wec,LMP2,1729,17,60,87,Gold
john falb,2021-05-01 13:30:00,Spa,wec,LMP2,1283,-172,35,62,Bronze
juan pablo montoya,2021-05-01 13:30:00,Spa,wec,LMP2,1486,0,39,39,Platinum
loic duval,2021-05-01 13:30:00,Spa,wec,LMP2,1690,0,80,80,Platinum
nick de vries,2021-05-01 13:30:00,Spa,wec,LMP2,1808,89,42,98,NULL
norman nato,2021-05-01 13:30:00,Spa,wec,LMP2,1599,0,37,37,Gold
patrick kelly,2021-05-01 13:30:00,Spa,wec,LMP2,1315,-341,40,127,Bronze
philip hanson,2021-05-01 13:30:00,Spa,wec,LMP2,1896,152,40,97,Gold
renger van der zande,2021-05-01 13:30:00,Spa,wec,LMP2,1513,0,42,42,Platinum
roberto gonzalez,2021-05-01 13:30:00,Spa,wec,LMP2,1517,0,41,41,Silver
roberto merhi,2021-05-01 13:30:00,Spa,wec,LMP2,1507,0,70,70,Platinum
