event_id,series_code,year,event_name,track,track_country,start_date,race_duration_minutes,race_type,avg_temp_f,track_temp_f,had_rain,rain_pct,total_laps,cars,drivers,classes,avg_pace,fastest_lap,fcy_laps,fcy_pct,wet_laps,class_list
imsa-2020-charlotte,imsa,2020,Charlotte Motor Speedway,Charlotte,United States,2020-10-09,101,Sprint,66.5,68.6,false,0.0,894,18,33,2,89.145,86.655,0,0.0,0,"GTD, GTLM"
imsa-2020-mid-ohio,imsa,2020,Mid-Ohio Sports Car Course,Mid-Ohio,United States,2020-09-25,161,Sprint,71.6,74.5,false,0.0,2529,24,47,3,79.433,72.292,0,0.0,0,"DPi, GTD, GTLM"
imsa-2020-vir,imsa,2020,VIRginia International Raceway,VIR,United States,2020-08-21,162,Sprint,79.0,75.9,false,0.0,1555,20,39,2,105.505,101.333,0,0.0,0,"GTD, GTLM"
imsa-2020-road-america,imsa,2020,Lamborghini at Road America,Road America,United States,2020-07-31,168,Sprint,72.3,86.2,false,0.0,1760,30,60,4,122.264,111.034,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2020-road-america,imsa,2020,Road America,Road America,United States,2020-07-31,168,Sprint,72.3,86.2,false,0.0,1760,30,60,4,122.264,111.034,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2020-sebring,imsa,2020,Sebring International Raceway,Sebring,United States,2020-07-17,163,Sprint,81.6,84.5,false,0.0,2203,29,58,4,116.571,107.675,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2020-sebring,imsa,2020,Sebring International Raceway,Sebring,United States,2020-07-17,163,Sprint,81.6,84.5,false,0.0,2203,29,58,4,116.571,107.675,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2020-daytona,imsa,2020,Daytona International Speedway,Daytona,United States,2020-01-03,162,Sprint,72.2,74.3,false,0.0,2271,26,52,3,104.016,95.446,0,0.0,0,"DPi, GTD, GTLM"
imsa-2020-daytona,imsa,2020,Rolex 24 at Daytona,Daytona,United States,2020-01-03,162,Sprint,72.2,74.3,false,0.0,2271,26,52,3,104.016,95.446,0,0.0,0,"DPi, GTD, GTLM"
imsa-2020-daytona,imsa,2020,Roar Before the Rolex 24,Daytona,United States,2020-01-03,162,Sprint,72.2,74.3,false,0.0,2271,26,52,3,104.016,95.446,0,0.0,0,"DPi, GTD, GTLM"
imsa-2019-laguna-seca,imsa,2019,GT3 - Weathertech Raceway Laguna Seca,Laguna Seca,United States,2019-09-13,162,Sprint,76.5,105.7,false,0.0,3509,31,62,4,82.896,76.661,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2019-laguna-seca,imsa,2019,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2019-09-13,162,Sprint,76.5,105.7,false,0.0,3509,31,62,4,82.896,76.661,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2019-vir,imsa,2019,VIRginia International Raceway,VIR,United States,2019-08-23,163,Sprint,79.2,96.4,false,0.0,1781,21,42,2,104.204,100.638,0,0.0,0,"GTD, GTLM"
imsa-2019-road-america,imsa,2019,Road America,Road America,United States,2019-08-02,164,Sprint,82.7,97.7,false,0.0,2658,35,70,4,122.63,111.133,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2019-lime-rock,imsa,2019,Lime Rock Park,Lime Rock,United States,2019-07-19,161,Sprint,90.4,118.4,false,0.0,3731,21,42,2,52.644,50.757,0,0.0,0,"GTD, GTLM"
imsa-2019-mosport,imsa,2019,Canadian Tire Motorsport Park,Mosport,Canada,2019-07-05,169,Sprint,77.4,106.9,false,0.0,3807,33,66,4,73.865,66.093,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2019-mosport,imsa,2019,CTMP-Victoria Day,Mosport,Canada,2019-07-05,169,Sprint,77.4,106.9,false,0.0,3807,33,66,4,73.865,66.093,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2019-belle-isle,imsa,2019,Belle Isle Street Course,Belle Isle,United States,2019-05-31,102,Sprint,74.1,71.0,false,0.0,1194,22,43,2,87.069,80.923,0,0.0,0,"DPi, GTD"
imsa-2019-mid-ohio,imsa,2019,Mid-Ohio Sports Car Course,Mid-Ohio,United States,2019-05-03,162,Sprint,57.6,59.4,false,0.0,3899,36,71,4,79.29,72.410,0,0.0,0,"DPi, GTD, GTLM, LMP2"
imsa-2019-long-beach,imsa,2019,Long Beach Street Circuit,Long Beach,United States,2019-04-12,102,Sprint,66.8,67.7,false,0.0,1250,18,36,2,75.58,71.932,0,0.0,0,"DPi, GTLM"
imsa-2018-laguna-seca,imsa,2018,Weathertech Raceway Laguna Seca,Laguna Seca,United States,2018-09-07,163,Sprint,66.5,93.4,false,0.0,1680,20,37,2,86.308,83.307,0,0.0,0,"GTD, GTLM"
imsa-2018-vir,imsa,2018,VIRginia International Raceway,VIR,United States,2018-08-17,163,Sprint,86.2,104.7,false,0.0,1469,18,36,2,105.317,102.600,0,0.0,0,"GTD, GTLM"
imsa-2018-road-america,imsa,2018,Road America,Road America,United States,2018-08-03,162,Sprint,82.1,93.1,false,0.0,1204,19,37,2,127.506,123.780,0,0.0,0,"GTD, GTLM"
imsa-2018-lime-rock,imsa,2018,Lime Rock Park,Lime Rock,United States,2018-07-20,161,Sprint,78.3,98.1,false,0.0,2747,17,33,2,52.49,50.834,0,0.0,0,"GTD, GTLM"
imsa-2018-mosport,imsa,2018,Canadian Tire Motorsport Park,Mosport,Canada,2018-07-06,162,Sprint,74.3,99.1,false,0.0,1942,19,38,2,77.404,74.961,0,0.0,0,"GTD, GTLM"
imsa-2018-mosport,imsa,2018,Canadian Tire Motorsport Park,Mosport,Canada,2018-07-06,162,Sprint,74.3,99.1,false,0.0,1942,19,38,2,77.404,74.961,0,0.0,0,"GTD, GTLM"
imsa-2018-mosport,imsa,2018,Canadian Tire Motorsport Park,Mosport,Canada,2018-07-06,162,Sprint,74.3,99.1,false,0.0,1942,19,38,2,77.404,74.961,0,0.0,0,"GTD, GTLM"
imsa-2018-belle-isle,imsa,2018,Belle Isle Street Circuit,Belle Isle,United States,2018-06-01,102,Sprint,70.2,79.8,false,0.0,716,12,23,1,90.334,89.023,0,0.0,0,GTD
imsa-2018-mid-ohio,imsa,2018,Mid-Ohio Sports Car Course,Mid-Ohio,United States,2018-05-04,162,Sprint,68.1,70.6,false,0.0,2311,20,40,2,81.472,79.451,0,0.0,0,"GTD, GTLM"
imsa-2018-long-beach,imsa,2018,Long Beach Street Circuit,Long Beach,United States,2018-04-13,102,Sprint,69.8,101.7,false,0.0,503,8,16,1,78.949,77.640,0,0.0,0,GTLM
