event_id,series_code,year,event_number,event_name,track,track_id,track_official_name,track_country,track_lat,track_lon,start_date,end_date,session_count,race_count,race_duration_minutes,race_type,avg_air_temp_f,avg_track_temp_f,avg_humidity_pct,had_rain,dry,is_race
imsa-2021-road-atlanta,imsa,2021,22,Road Atlanta,Road Atlanta,road-atlanta,Michelin Raceway Road Atlanta,United States,34.1413,-83.8173,2021-11-11,2021-11-13,9,13672,602,Ultra-Endurance,65.2,67.9,68.5,false,true,true
imsa-2021-vir,imsa,2021,19,VIRginia International Raceway,VIR,virginia-international-raceway,Virginia International Raceway,United States,36.5618,-79.2046,2021-10-08,2021-10-09,5,1473,162,Sprint,69.6,75.6,82.6,false,true,true
imsa-2021-vir,imsa,2021,10,VIRginia International Raceway,VIR,virginia-international-raceway,Virginia International Raceway,United States,36.5618,-79.2046,2021-10-08,2021-10-09,5,1473,162,Sprint,69.6,75.6,82.6,false,true,true
imsa-2021-long-beach,imsa,2021,18,Long Beach Street Circuit,Long Beach,long-beach,Acura Grand Prix of Long Beach,United States,33.7598,-118.189,2021-09-24,2021-09-25,6,1861,102,Sprint,71.0,102.4,73.4,false,true,true
imsa-2021-laguna-seca,imsa,2021,17,Weathertech Raceway Laguna Seca,Laguna Seca,laguna-seca,WeatherTech Raceway Laguna Seca,United States,36.5842,-121.7517,2021-09-10,2021-09-12,7,2668,162,Sprint,68.5,102.3,68.8,false,true,true
imsa-2021-road-america,imsa,2021,15,Road America,Road America,road-america,Road America,United States,43.7918,-87.9897,2021-08-06,2021-08-08,8,2365,163,Sprint,76.3,85.7,85.0,false,true,true
imsa-2021-lime-rock,imsa,2021,14,Lime Rock Park,Lime Rock,lime-rock,Lime Rock Park,United States,41.9277,-73.3836,2021-07-16,2021-07-17,6,1563,89,Sprint,84.3,95.5,70.4,false,true,true
imsa-2021-watkins-glen,imsa,2021,13,WeatherTech 240 - WGI,Watkins Glen,watkins-glen,Watkins Glen International,United States,42.3369,-76.9272,2021-06-25,2021-07-02,14,8044,361,Ultra-Endurance,69.5,75.5,74.1,false,true,true
imsa-2021-watkins-glen,imsa,2021,12,6H - Watkins Glen International,Watkins Glen,watkins-glen,Watkins Glen International,United States,42.3369,-76.9272,2021-06-25,2021-07-02,14,8044,361,Ultra-Endurance,69.5,75.5,74.1,false,true,true
imsa-2021-mid-ohio,imsa,2021,08,Mid-Ohio Sports Car Course,Mid-Ohio,mid-ohio,Mid-Ohio Sports Car Course,United States,40.6869,-82.6352,2021-05-14,2021-05-16,8,2795,162,Sprint,66.2,72.3,41.7,false,true,true
imsa-2021-sebring,imsa,2021,05,Sebring International Raceway,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2021-03-18,2021-03-20,9,11075,723,Ultra-Endurance,78.2,79.1,66.0,false,true,true
imsa-2021-sebring,imsa,2021,04,Sebring Sportscar Week,Sebring,sebring,Sebring International Raceway,United States,27.4547,-81.3483,2021-03-18,2021-03-20,9,11075,723,Ultra-Endurance,78.2,79.1,66.0,false,true,true
