POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
31,6,5,1:27.093,+5.042,+0.108,178.5,44,Nielsen Racing,LMP3,,,Ligier JS P320 - Nissan,M,51396,5670,6,5981,258,188,,,,,Nicholas,ADCOCK,B,,GBR,,9534,188,,,,Austin,MCCUSKER,S,,USA,,9600,66,,,,Max,KOEBOLT,S,,NLD,,9878,178,,,,,,,,,,,,,,,,,,,,,,
32,14,3,1:27.359,+5.308,+0.266,177.9,52,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,51403,402,6,5981,258,181,,,,,Gustas,GRINBERGAS,S,,LTU,,9431,137,,,,Mateusz,KAPRZYK,S,,POL,,10102,181,,,,Mattia,PASINI,B,,ITA,,10103,119,,,,,,,,,,,,,,,,,,,,,,
33,88,6,1:28.520,+6.469,+1.161,175.6,50,AF Corse,LMGTE,,,Ferrari 488 GTE Evo,G,51433,16,10,5910,3,119,,,,,François,PERRODO,B,,FRA,,260,70,,,,Emmanuel,COLLARD,G,,FRA,,24,70,,,,Alessio,ROVERA,S,,ITA,,9837,119,,,,,,,,,,,,,,,,,,,,,,
34,60,36,1:28.705,+6.654,+0.185,175.2,44,Iron Lynx,LMGTE,,,Ferrari 488 GTE Evo,G,51424,5979,10,5910,3,119,,,,,Claudio,SCHIAVONI,B,,ITA,,8812,119,,,,Giorgio,SERNAGIOTTO,S,,ITA,,402,119,,,,Paolo,RUBERTI,G,,ITA,,92,119,,,,,,,,,,,,,,,,,,,,,,
35,80,20,1:28.785,+6.734,+0.080,175.1,47,Iron Lynx,LMGTE,,,Ferrari 488 GTE Evo,G,51428,5979,10,5910,3,119,,,,,Matteo,CRESSONI,S,,ITA,,338,119,,,,Rino,MASTRONARDI,B,,ITA,,1300,119,,,,Miguel,MOLINA,P,,ESP,,8526,64,,,,,,,,,,,,,,,,,,,,,,
36,66,23,1:28.889,+6.838,+0.104,174.9,42,JMW Motorsport,LMGTE,,,Ferrari 488 GTE Evo,G,51426,35,10,5910,3,188,,,,,Jody,FANNIN,G,,GBR,,8522,188,,,,Andrea,FONTANA,S,,ITA,,9745,119,,,,Rodrigo,SALES,B,,USA,,9754,66,,,,,,,,,,,,,,,,,,,,,,
37,83,46,1:28.903,+6.852,+0.014,174.9,46,Iron Lynx,LMGTE,,,Ferrari 488 GTE Evo,G,51429,5979,10,5910,3,119,,,,,Rahel,FREY,S,,CHE,,1143,219,,,,Michelle,GATTING,S,,DNK,,9343,57,,,,Manuela,GOSTNER,B,,ITA,,9334,119,,,,,,,,,,,,,,,,,,,,,,
38,95,16,1:29.213,+7.162,+0.310,174.2,47,TF Sport,LMGTE,,,Aston Martin Vantage AMR,G,51431,364,10,5896,260,188,,,,,John,HARTSHORNE,B,,GBR,,823,188,,,,Jonathan,ADAM,P,,GBR,,194,188,,,,Oliver,HANCOCK,S,,GBR,,9140,188,,,,,,,,,,,,,,,,,,,,,,
39,77,6,1:29.258,+7.207,+0.045,174.2,40,Proton Competition,LMGTE,,,Porsche 911 RSR - 19,G,51427,45,10,5965,4368,5,,,,,Christian,RIED,B,,DEU,,90,5,,,,Cooper,MACNEIL,S,,USA,,258,66,,,,Matt,CAMPBELL,G,,AUS,,8944,16,,,,,,,,,,,,,,,,,,,,,,
40,55,48,1:29.291,+7.240,+0.033,174.1,49,Spirit of Race,LMGTE,,,Ferrari 488 GTE Evo,G,51423,5546,10,5910,3,219,,,,,Duncan,CAMERON,B,,GBR,,327,188,,,,Matthew,GRIFFIN,G,,IRL,,7395,116,,,,David,PEREL,S,,ZAF,,9590,2,,,,,,,,,,,,,,,,,,,,,,
41,93,32,1:29.760,+7.709,+0.469,173.2,49,Proton Competition,LMGTE,,,Porsche 911 RSR - 19,G,51430,45,10,5965,4368,5,,,,,Michael,FASSBENDER,B,,IRL,,9752,116,,,,Felipe,LASER,S,,DEU,,9742,5,,,,Richard,LIETZ,P,,AUT,,66,17,,,,,,,,,,,,,,,,,,,,,,
